date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:06:51	52313/52313	---MCZ	200	added ('OK')	text/html	date:Mon,%2028%20Oct%202019%2009:23:05%20GMT	https://zytheme.com/demos/hebes/product-dark.html	C:/Users/orange/Desktop/hepes/zytheme.com/demos/hebes/product-dark.html	(from )
21:06:54	112/112	---M-Z	200	added ('OK')	text/plain	date:Thu,%2004%20Feb%202021%2019:06:55%20GMT	https://zytheme.com/robots.txt		(from )
21:06:54	1022/1022	---M--	200	added ('OK')	image/png	date:Mon,%2028%20Oct%202019%2009:23:04%20GMT	https://zytheme.com/demos/hebes/assets/images/favicon/favicon.png	C:/Users/orange/Desktop/hepes/zytheme.com/demos/hebes/assets/images/favicon/favicon.png	(from https://zytheme.com/demos/hebes/product-dark.html)
21:06:54	376239/376239	---MCZ	200	added ('OK')	text/css	etag:W/%225bfe79ff-5bebf%22	https://zytheme.com/demos/hebes/assets/css/external.css	C:/Users/orange/Desktop/hepes/zytheme.com/demos/hebes/assets/css/external.css	(from https://zytheme.com/demos/hebes/product-dark.html)
21:06:55	29415/29415	---MCZ	200	added ('OK')	text/css	etag:W/%225db6b379-7451%22	https://zytheme.com/demos/hebes/assets/revolution/css/settings.css	C:/Users/orange/Desktop/hepes/zytheme.com/demos/hebes/assets/revolution/css/settings.css	(from https://zytheme.com/demos/hebes/product-dark.html)
21:06:55	104497/104497	---MCZ	200	added ('OK')	text/css	etag:W/%225db6b379-225f9%22	https://zytheme.com/demos/hebes/assets/revolution/css/layers.css	C:/Users/orange/Desktop/hepes/zytheme.com/demos/hebes/assets/revolution/css/layers.css	(from https://zytheme.com/demos/hebes/product-dark.html)
21:06:55	44435/44435	---MCZ	200	added ('OK')	text/css	etag:W/%225db6b379-e8b8%22	https://zytheme.com/demos/hebes/assets/revolution/css/navigation.css	C:/Users/orange/Desktop/hepes/zytheme.com/demos/hebes/assets/revolution/css/navigation.css	(from https://zytheme.com/demos/hebes/product-dark.html)
21:06:55	247229/247229	---MCZ	200	added ('OK')	text/css	etag:W/%225e22ef13-4c247%22	https://zytheme.com/demos/hebes/assets/css/style.css	C:/Users/orange/Desktop/hepes/zytheme.com/demos/hebes/assets/css/style.css	(from https://zytheme.com/demos/hebes/product-dark.html)
21:06:55	10495/10495	---MCZ	200	added ('OK')	text/css	etag:W/%225d6d3355-2fa6%22	https://zytheme.com/demos/hebes/assets/css/style-dark.css	C:/Users/orange/Desktop/hepes/zytheme.com/demos/hebes/assets/css/style-dark.css	(from https://zytheme.com/demos/hebes/product-dark.html)
21:06:56	45986/45986	---MCZ	200	added ('OK')	text/css	etag:W/%225d6bb012-e8b0%22	https://zytheme.com/demos/hebes/assets/css/themes/theme-red.css	C:/Users/orange/Desktop/hepes/zytheme.com/demos/hebes/assets/css/themes/theme-red.css	(from https://zytheme.com/demos/hebes/product-dark.html)
21:06:57	56810/56810	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2004%20Feb%202021%2019:06:58%20GMT	https://zytheme.com/demos/hebes/index-2.html	C:/Users/orange/Desktop/hepes/zytheme.com/demos/hebes/index-2.html	(from https://zytheme.com/demos/hebes/product-dark.html)
21:06:57	1880/1880	---M--	200	added ('OK')	image/png	etag:%225db6b378-758%22	https://zytheme.com/demos/hebes/assets/images/logo/logo-light-red.png	C:/Users/orange/Desktop/hepes/zytheme.com/demos/hebes/assets/images/logo/logo-light-red.png	(from https://zytheme.com/demos/hebes/product-dark.html)
